article_id,column1,column2,column3,column4
6713812, National government||| Individuals or households, Institutional||| Technological/infrastructural, General climate impacts||| Increased frequency and intensity of extreme heat, Food security||| Consumption & production
6713813, Individuals or households||| Civil Society- sub-national or local, Ecosystem-based|||Behavioural/cultural, Increased frequency and intensity of extreme heat||| General climate impacts||| Other1||| Drought||| Precipitation variability, Consumption & production||| Terrestrial & freshwater ecosystem services||| Food security
6713814, Individuals or households, Institutional||| Technological/infrastructural||| Ecosystem-based, Drought||| Precipitation variability||| Increased frequency and intensity of extreme heat||| Rising ocean temperature and ocean acidification||| General climate impacts, Consumption & production||| Food security|||Poverty||| Industry/innovation/technology||| Gender equality
6713832, Individuals or households,Behavioural/cultural||| Technological/infrastructural, Increased frequency and intensity of extreme heat, Health & wellbeing
6713841, National government, Institutional, General climate impacts, Food security||| Clean water & sanitation||| Marine & coastal ecosystem services||| Work and economic growth||| Health & wellbeing
6713842, Individuals or households, Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based, Other1, Food security||| Sustainable cities & communities||| Consumption & production||| Clean water & sanitation||| Health & wellbeing|||Poverty
6713845, Individuals or households||| Civil Society- international/multinational/national||| National government,Behavioural/cultural, Drought||| General climate impacts||| Other1||| Precipitation variability||| No information or not assessed1, Gender equality|||Poverty||| No information or not assessed2
6713846, Private sector SMEs, Institutional|||Behavioural/cultural, Drought||| Other1, Consumption & production
6713847, Individuals or households,Behavioural/cultural||| Technological/infrastructural, General climate impacts, Food security||| No information or not assessed2
6713848, Individuals or households,Behavioural/cultural||| Technological/infrastructural, Drought||| General climate impacts, Gender equality||| Food security||| Clean water & sanitation
6713849, Private sector corporations||| Civil Society- sub-national or local||| Other||| Individuals or households, Technological/infrastructural|||Behavioural/cultural||| Institutional, Extreme precipitation and inland flooding, Consumption & production||| Food security
6713850, Individuals or households,Behavioural/cultural||| Institutional, Increased frequency and intensity of extreme heat||| General climate impacts, Work and economic growth
6713852, Local government||| Individuals or households||| National government||| Other, Ecosystem-based||| Institutional||| Technological/infrastructural|||Behavioural/cultural, Extreme precipitation and inland flooding||| Precipitation variability||| General climate impacts, Consumption & production||| Other2
6713853, Sub-national government||| Private sector SMEs||| Civil Society- sub-national or local||| Local government, Institutional, Increased frequency and intensity of extreme heat, Health & wellbeing||| Sustainable cities & communities
6713855, Local government||| Other||| National government, Institutional, General climate impacts, No information or not assessed2||| Clean water & sanitation
6713857, Individuals or households, Technological/infrastructural|||Behavioural/cultural, General climate impacts|||Sea level rise||| Extreme precipitation and inland flooding||| Drought, Other2|||Poverty
6713859,No information or not assessed3, No information or not assessed, No information or not assessed1, No information or not assessed2
6713865, Other||| National government||| Civil Society- sub-national or local,Behavioural/cultural||| Ecosystem-based, Other1||| Drought||| General climate impacts, Food security||| Clean water & sanitation||| Marine & coastal ecosystem services||| Work and economic growth||| Health & wellbeing
6713868, Other||| Individuals or households,Behavioural/cultural, Extreme precipitation and inland flooding||| General climate impacts||| Other1, Education||| Inequalities (Other than gender)||| Other2
6713870, Local government||| Sub-national government||| Private sector corporations||| Individuals or households, Institutional, Extreme precipitation and inland flooding|||Sea level rise, Sustainable cities & communities
6713871, Individuals or households,Behavioural/cultural||| Technological/infrastructural, General climate impacts||| Increased frequency and intensity of extreme heat, Work and economic growth||| Food security||| Health & wellbeing
6713877, Individuals or households||| Local government, Ecosystem-based|||Behavioural/cultural||| Technological/infrastructural, Drought||| General climate impacts||| Other1, Consumption & production||| No information or not assessed2
6713878, National government||| Individuals or households, Technological/infrastructural||| Ecosystem-based|||Behavioural/cultural||| Institutional,Sea level rise||| Other1, Consumption & production||| Clean water & sanitation||| Marine & coastal ecosystem services|||Poverty||| Terrestrial & freshwater ecosystem services||| Industry/innovation/technology||| Sustainable cities & communities
6713879,No information or not assessed3, No information or not assessed, No information or not assessed1, No information or not assessed2
6713880, Individuals or households,Behavioural/cultural||| Technological/infrastructural, General climate impacts|||Sea level rise||| Other1, Health & wellbeing||| Clean water & sanitation||| Food security
6713881, Individuals or households, Ecosystem-based|||Behavioural/cultural||| Technological/infrastructural, Drought||| Precipitation variability||| General climate impacts, Consumption & production
6713883, Individuals or households||| Local government, Institutional|||Behavioural/cultural||| Technological/infrastructural, Extreme precipitation and inland flooding||| Drought||| General climate impacts,Poverty||| Food security
6713886, Individuals or households||| Civil Society- sub-national or local, Ecosystem-based|||Behavioural/cultural, General climate impacts||| Precipitation variability||| Other1, Other2
6713888, Individuals or households, Ecosystem-based, General climate impacts||| No information or not assessed1, Food security||| Terrestrial & freshwater ecosystem services
6713889, Individuals or households,Behavioural/cultural||| Ecosystem-based||| Technological/infrastructural, General climate impacts||| Drought||| Extreme precipitation and inland flooding, Gender equality||| Food security||| Work and economic growth
6713890, Civil Society- sub-national or local||| Local government,Behavioural/cultural||| Institutional, Other1||| Increased frequency and intensity of extreme heat, Inequalities (Other than gender)|||Poverty||| Health & wellbeing
6713892, Individuals or households,Behavioural/cultural, Increased frequency and intensity of extreme heat, Health & wellbeing
6713894, Individuals or households, Ecosystem-based, General climate impacts||| Precipitation variability||| Drought||| Increased frequency and intensity of extreme heat||| Extreme precipitation and inland flooding, No information or not assessed2
6713895, Individuals or households||| National government,Behavioural/cultural||| Technological/infrastructural||| Ecosystem-based,Sea level rise||| Other1, Health & wellbeing||| Other2||| Food security||| Sustainable cities & communities||| Marine & coastal ecosystem services
6713896, Individuals or households,Behavioural/cultural||| Ecosystem-based, General climate impacts||| Increased frequency and intensity of extreme heat, Food security||| Consumption & production
6713899, Individuals or households, Ecosystem-based||| Technological/infrastructural, Drought||| General climate impacts||| Precipitation variability,Poverty||| Work and economic growth||| Consumption & production
6713902, Individuals or households, Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural, Drought||| General climate impacts, Food security||| Consumption & production
6713906, National government||| Local government||| Civil Society- sub-national or local||| Individuals or households||| Sub-national government, Institutional|||Behavioural/cultural||| Technological/infrastructural, Extreme precipitation and inland flooding||| General climate impacts, Gender equality||| Education||| Food security|||Poverty||| Health & wellbeing||| Sustainable cities & communities
6713907, Individuals or households, Institutional||| Technological/infrastructural|||Behavioural/cultural, Extreme precipitation and inland flooding, Terrestrial & freshwater ecosystem services||| Other2
6713909, Individuals or households,Behavioural/cultural, General climate impacts||| Precipitation variability, Health & wellbeing||| Consumption & production||| Work and economic growth
6713911, Individuals or households,Behavioural/cultural||| Institutional, General climate impacts||| Precipitation variability|||Sea level rise||| Extreme precipitation and inland flooding, Food security||| Consumption & production|||Poverty||| Clean water & sanitation||| Education||| Terrestrial & freshwater ecosystem services
6713913, Individuals or households, Ecosystem-based|||Behavioural/cultural, Drought||| Extreme precipitation and inland flooding||| General climate impacts||| Increased frequency and intensity of extreme heat, Consumption & production||| Food security||| Work and economic growth
6713916, Individuals or households,Behavioural/cultural, General climate impacts|||Sea level rise, Food security|||Poverty||| Health & wellbeing
6713918, Individuals or households, Technological/infrastructural|||Behavioural/cultural, Extreme precipitation and inland flooding||| General climate impacts, Sustainable cities & communities
6713919, Individuals or households,Behavioural/cultural, Extreme precipitation and inland flooding||| Precipitation variability||| Other1,Poverty||| Consumption & production||| Work and economic growth
6713920, Individuals or households,Behavioural/cultural||| Institutional, General climate impacts||| Other1, Consumption & production||| Food security
6713921, Local government||| Civil Society- sub-national or local||| Individuals or households,Behavioural/cultural||| Ecosystem-based,Sea level rise||| General climate impacts||| Other1, Other2|||Poverty||| Work and economic growth
6713922, Individuals or households,Behavioural/cultural||| Institutional||| Technological/infrastructural, Precipitation variability, Health & wellbeing||| Food security
6713923, Civil Society- international/multinational/national||| National government||| Sub-national government||| Civil Society- sub-national or local||| Individuals or households||| Local government|||International or multinational governance institutions, Institutional||| Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural, General climate impacts||| Drought, Consumption & production||| Food security|||Poverty||| Clean water & sanitation||| Terrestrial & freshwater ecosystem services
6713924, Local government||| Individuals or households, Institutional|||Behavioural/cultural||| Ecosystem-based||| Technological/infrastructural, Precipitation variability||| General climate impacts||| Drought, Food security||| Terrestrial & freshwater ecosystem services||| Sustainable cities & communities||| Consumption & production|||Poverty||| Health & wellbeing||| Education||| Other2
6713925, Individuals or households,Behavioural/cultural, General climate impacts, Food security
6713926, Individuals or households||| Local government||| National government||| Private sector SMEs, Institutional||| Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based, General climate impacts||| Drought||| Precipitation variability||| Increased frequency and intensity of extreme heat, Consumption & production
6713928, Individuals or households||| Local government||| Civil Society- sub-national or local||| Private sector SMEs, Ecosystem-based, General climate impacts||| Loss of Arctic sea ice||| Precipitation variability, Terrestrial & freshwater ecosystem services
6713935, Individuals or households, Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based, Drought||| Extreme precipitation and inland flooding||| General climate impacts, No information or not assessed2||| Sustainable cities & communities||| Clean water & sanitation
6713936, Individuals or households, Technological/infrastructural||| Institutional|||Behavioural/cultural, Extreme precipitation and inland flooding,Poverty||| Sustainable cities & communities||| Inequalities (Other than gender)||| Clean water & sanitation
6713939, Individuals or households, Technological/infrastructural|||Behavioural/cultural, Extreme precipitation and inland flooding||| Precipitation variability, Clean water & sanitation||| Consumption & production
6713941, Private sector SMEs,Behavioural/cultural, Extreme precipitation and inland flooding|||Sea level rise, Sustainable cities & communities
6713950, Individuals or households, Technological/infrastructural||| Institutional|||Behavioural/cultural, Drought||| General climate impacts, Food security
6713959, Individuals or households||| National government,Behavioural/cultural, Drought||| Precipitation variability, Consumption & production|||Poverty||| Work and economic growth||| Energy security
6713960, Individuals or households,Behavioural/cultural||| Technological/infrastructural, General climate impacts||| Precipitation variability, Food security|||Poverty
6713961, Individuals or households,Behavioural/cultural, General climate impacts, Food security
6713962, Individuals or households||| Local government||| Sub-national government||| National government||| Other, Ecosystem-based||| Institutional||| Technological/infrastructural|||Behavioural/cultural, Drought||| Precipitation variability, Consumption & production|||Poverty
6713964, Civil Society- sub-national or local||| Individuals or households,Behavioural/cultural, General climate impacts, Work and economic growth||| Food security||| Sustainable cities & communities
6713967, National government||| Local government||| Civil Society- sub-national or local, Institutional, General climate impacts, No information or not assessed2
6713969, Individuals or households,Behavioural/cultural||| Ecosystem-based||| Institutional||| Technological/infrastructural, Drought||| General climate impacts, Health & wellbeing
6713970, Individuals or households,Behavioural/cultural, Extreme precipitation and inland flooding||| Precipitation variability||| Other1, Health & wellbeing
6713971, Individuals or households, No information or not assessed, Extreme precipitation and inland flooding||| Other1, Marine & coastal ecosystem services||| Sustainable cities & communities
6713972, Individuals or households,Behavioural/cultural, Extreme precipitation and inland flooding||| General climate impacts, Food security
6713974, Individuals or households,Behavioural/cultural||| Institutional||| Technological/infrastructural, Extreme precipitation and inland flooding,Poverty
6713976, Individuals or households,Behavioural/cultural||| Technological/infrastructural, Other1, Food security
6713987, Individuals or households,Behavioural/cultural, General climate impacts|||Sea level rise||| Increased frequency and intensity of extreme heat||| Other1, Marine & coastal ecosystem services
6713990, National government||| Local government||| Sub-national government||| Civil Society- international/multinational/national, Institutional, General climate impacts, Clean water & sanitation||| Consumption & production||| Food security||| Health & wellbeing||| Sustainable cities & communities||| Terrestrial & freshwater ecosystem services||| Peace justice & strong institutions
6714002, Other, Institutional, General climate impacts||| Increased frequency and intensity of extreme heat||| Drought|||Sea level rise||| Extreme precipitation and inland flooding, Education
6714008, Individuals or households,Behavioural/cultural, General climate impacts, No information or not assessed2||| Clean water & sanitation||| Food security||| Sustainable cities & communities
6714012, Individuals or households||| Private sector SMEs||| Local government||| Civil Society- sub-national or local||| Private sector corporations,Behavioural/cultural||| Technological/infrastructural, Extreme precipitation and inland flooding||| Drought||| Other1,Poverty||| Clean water & sanitation||| Health & wellbeing||| Gender equality||| Sustainable cities & communities||| Education||| Other2
6714013, National government, Institutional||| Technological/infrastructural, Precipitation variability||| Increased frequency and intensity of extreme heat||| Extreme precipitation and inland flooding, No information or not assessed2
6714014, Individuals or households||| Civil Society- international/multinational/national,Behavioural/cultural||| Ecosystem-based, Drought||| General climate impacts||| Other1, Food security||| Consumption & production
6714016, Civil Society- sub-national or local||| Individuals or households||| Sub-national government, Technological/infrastructural|||Behavioural/cultural||| Institutional, Drought, Consumption & production||| Other2||| No information or not assessed2
6714019, Individuals or households,Behavioural/cultural, General climate impacts||| Drought||| Extreme precipitation and inland flooding||| Precipitation variability||| Increased frequency and intensity of extreme heat, Food security||| Work and economic growth
6714022, Individuals or households,Behavioural/cultural||| Ecosystem-based, Extreme precipitation and inland flooding|||Sea level rise||| Precipitation variability, Food security||| Terrestrial & freshwater ecosystem services||| Work and economic growth
6714026, Individuals or households||| Civil Society- sub-national or local||| Sub-national government||| Civil Society- international/multinational/national,Behavioural/cultural||| Technological/infrastructural||| Institutional, Drought||| Extreme precipitation and inland flooding||| General climate impacts, Clean water & sanitation||| Food security||| Work and economic growth
6714032, Individuals or households||| Sub-national government, Ecosystem-based||| Institutional, Drought||| Extreme precipitation and inland flooding||| Precipitation variability, Consumption & production||| Food security||| Work and economic growth|||Poverty||| Health & wellbeing
6714038, Individuals or households||| Local government||| National government, Technological/infrastructural||| Institutional||| Ecosystem-based|||Behavioural/cultural, Extreme precipitation and inland flooding||| Precipitation variability, Health & wellbeing
6714040, Civil Society- sub-national or local||| Other||| Private sector SMEs|||International or multinational governance institutions, Technological/infrastructural||| Ecosystem-based||| Institutional, General climate impacts,Poverty||| Consumption & production||| Food security||| Industry/innovation/technology
6714041, Individuals or households||| Civil Society- sub-national or local||| Other,Behavioural/cultural||| Technological/infrastructural, Drought||| Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat||| Precipitation variability, Consumption & production||| Food security||| Clean water & sanitation|||Poverty
6714047, Civil Society- international/multinational/national||| Civil Society- sub-national or local||| Private sector SMEs||| Local government, Technological/infrastructural|||Behavioural/cultural||| Institutional, Drought, Energy security||| Food security||| Health & wellbeing||| Clean water & sanitation|||Poverty
6714058, Civil Society- sub-national or local||| Individuals or households, Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural, Drought||| Other1, Food security||| Terrestrial & freshwater ecosystem services||| Sustainable cities & communities
6714059, Individuals or households, Ecosystem-based, Drought||| Precipitation variability||| Extreme precipitation and inland flooding||| Other1, Consumption & production||| Food security
6714064, Civil Society- international/multinational/national||| National government||| Local government, Institutional, Drought||| Other1||| General climate impacts, Food security|||Poverty
6714068, Civil Society- international/multinational/national||| Individuals or households||| Local government||| National government, Ecosystem-based|||Behavioural/cultural||| Technological/infrastructural||| Institutional, General climate impacts|||Sea level rise||| Other1||| Extreme precipitation and inland flooding, Marine & coastal ecosystem services|||Poverty||| Sustainable cities & communities
6714069, Civil Society- sub-national or local||| National government||| Local government||| Private sector corporations||| Sub-national government, Institutional||| Technological/infrastructural,Sea level rise||| Extreme precipitation and inland flooding, Sustainable cities & communities||| No information or not assessed2
6714070, Private sector corporations, Institutional||| Technological/infrastructural, Other1, Work and economic growth||| Consumption & production
6714071, National government||| Local government, Institutional, Drought||| General climate impacts||| Increased frequency and intensity of extreme heat||| Precipitation variability|||Sea level rise||| Other1, Clean water & sanitation||| Consumption & production||| Marine & coastal ecosystem services||| Food security||| Energy security||| Sustainable cities & communities
6714072, National government||| Local government||| Sub-national government||| Civil Society- international/multinational/national, Institutional||| Ecosystem-based, Other1||| General climate impacts, Sustainable cities & communities||| No information or not assessed2
6714074, Civil Society- international/multinational/national||| Local government||| Sub-national government||| Civil Society- sub-national or local||| National government||| Individuals or households||| Other, Technological/infrastructural||| Ecosystem-based, Increased frequency and intensity of extreme heat, Health & wellbeing||| Sustainable cities & communities
6714075, Private sector SMEs||| Private sector corporations,Behavioural/cultural||| Technological/infrastructural, Other1||| Extreme precipitation and inland flooding, Work and economic growth
6714076, Local government, Institutional||| Technological/infrastructural||| Ecosystem-based, General climate impacts, Sustainable cities & communities
6714077, National government||| Local government, Institutional||| Ecosystem-based, Increased frequency and intensity of extreme heat||| Other1||| Extreme precipitation and inland flooding||| Drought||| General climate impacts, Other2||| No information or not assessed2
6714079, Local government||| Individuals or households||| National government||| Private sector corporations, Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural||| Institutional, General climate impacts|||Sea level rise||| Other1, Marine & coastal ecosystem services||| Food security
6714080, Local government||| Other, Institutional, Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat|||Sea level rise||| Drought||| General climate impacts, Sustainable cities & communities||| Food security||| Health & wellbeing||| Consumption & production||| Other2||| Peace justice & strong institutions
6714082, Local government||| National government||| Civil Society- international/multinational/national||| Civil Society- sub-national or local, Institutional||| Technological/infrastructural, Other1||| Extreme precipitation and inland flooding|||Sea level rise||| Increased frequency and intensity of extreme heat||| General climate impacts, Sustainable cities & communities||| Other2||| Energy security||| Work and economic growth||| Industry/innovation/technology
6714083, Local government||| Other, Institutional||| Technological/infrastructural||| Ecosystem-based, Increased frequency and intensity of extreme heat||| Extreme precipitation and inland flooding||| General climate impacts||| Other1, Food security||| Health & wellbeing
6714084, Local government, Institutional||| Technological/infrastructural||| Ecosystem-based, Increased frequency and intensity of extreme heat, Sustainable cities & communities
6714085, Civil Society- international/multinational/national, Institutional, General climate impacts, Sustainable cities & communities
6714088, Local government, Institutional, Extreme precipitation and inland flooding, Health & wellbeing||| Industry/innovation/technology
6714090, Local government||| Sub-national government||| Individuals or households, Institutional||| Technological/infrastructural, Drought||| General climate impacts, Clean water & sanitation||| Sustainable cities & communities
6714091, National government||| Sub-national government||| Private sector corporations, Institutional||| Technological/infrastructural, General climate impacts||| Precipitation variability||| Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat, Other2||| Industry/innovation/technology||| Sustainable cities & communities
6714092, Individuals or households||| Local government,Behavioural/cultural, Extreme precipitation and inland flooding|||Sea level rise||| Increased frequency and intensity of extreme heat,Poverty||| Inequalities (Other than gender)
6714094, Local government||| Civil Society- sub-national or local, Institutional,Sea level rise, Sustainable cities & communities||| Marine & coastal ecosystem services||| Health & wellbeing
6714095, Local government||| National government||| Sub-national government|||International or multinational governance institutions||| Civil Society- sub-national or local||| Individuals or households, Institutional||| Technological/infrastructural||| Ecosystem-based|||Behavioural/cultural, Extreme precipitation and inland flooding|||Sea level rise||| General climate impacts, Sustainable cities & communities||| Clean water & sanitation||| Marine & coastal ecosystem services||| Work and economic growth
6714096, Individuals or households, Ecosystem-based|||Behavioural/cultural, No information or not assessed1||| General climate impacts, Consumption & production||| Health & wellbeing||| Sustainable cities & communities
6714097, Individuals or households||| Local government,Behavioural/cultural||| Technological/infrastructural||| Ecosystem-based, Extreme precipitation and inland flooding|||Sea level rise||| Other1||| Precipitation variability, Food security||| Other2||| Health & wellbeing
6714098, Local government||| National government||| Civil Society- sub-national or local||| Civil Society- international/multinational/national||| Sub-national government||| Individuals or households|||International or multinational governance institutions,Behavioural/cultural||| Institutional||| Technological/infrastructural, Extreme precipitation and inland flooding||| General climate impacts|||Sea level rise, Clean water & sanitation|||Poverty||| Food security
6714099, Local government||| Civil Society- international/multinational/national, Institutional||| Technological/infrastructural, Drought|||Sea level rise||| Extreme precipitation and inland flooding||| General climate impacts, Sustainable cities & communities||| Other2
6714101, Other, Institutional||| Technological/infrastructural, General climate impacts, Sustainable cities & communities
6714102, Local government, Institutional, Other1||| Precipitation variability||| Extreme precipitation and inland flooding||| Drought, Work and economic growth
6714104, Local government||| National government||| Sub-national government, Institutional, No information or not assessed1||| Other1||| General climate impacts, No information or not assessed2||| Other2
6714105, Civil Society- international/multinational/national|||International or multinational governance institutions||| Other||| Private sector corporations, Technological/infrastructural||| Institutional, General climate impacts, Sustainable cities & communities
6714106, Individuals or households||| Civil Society- sub-national or local,Behavioural/cultural, Increased frequency and intensity of extreme heat, Health & wellbeing
6714107, Individuals or households||| Local government||| Civil Society- sub-national or local, Technological/infrastructural|||Behavioural/cultural, Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat,Poverty
6714108, National government|||International or multinational governance institutions||| Individuals or households||| Local government||| Sub-national government, Technological/infrastructural||| Institutional||| Ecosystem-based, Extreme precipitation and inland flooding||| General climate impacts|||Sea level rise, Sustainable cities & communities||| Clean water & sanitation||| Health & wellbeing||| Terrestrial & freshwater ecosystem services||| Work and economic growth
6714109, Individuals or households||| Private sector SMEs||| Civil Society- sub-national or local,Behavioural/cultural, Drought||| Increased frequency and intensity of extreme heat, Work and economic growth
6714110, Local government||| Individuals or households, Institutional||| Technological/infrastructural, Extreme precipitation and inland flooding||| Drought||| General climate impacts, Sustainable cities & communities
6714113, Individuals or households,Behavioural/cultural||| Institutional||| Technological/infrastructural,Sea level rise||| Extreme precipitation and inland flooding||| Other1, Health & wellbeing
6714114, Local government, Institutional||| Technological/infrastructural||| Ecosystem-based, General climate impacts, Sustainable cities & communities
6714115, Civil Society- international/multinational/national||| Sub-national government||| Local government||| Individuals or households||| Civil Society- sub-national or local, Institutional|||Behavioural/cultural, Extreme precipitation and inland flooding||| Precipitation variability||| General climate impacts, Health & wellbeing||| Sustainable cities & communities||| Clean water & sanitation
6714116, Individuals or households,Behavioural/cultural||| Technological/infrastructural, Other1||| Extreme precipitation and inland flooding|||Sea level rise, Sustainable cities & communities
6714117, Individuals or households, Technological/infrastructural|||Behavioural/cultural||| Institutional, Extreme precipitation and inland flooding|||Sea level rise||| Increased frequency and intensity of extreme heat||| General climate impacts||| Drought, Sustainable cities & communities
6714118, Local government||| National government|||International or multinational governance institutions||| Sub-national government||| Civil Society- international/multinational/national, Institutional, Precipitation variability||| Extreme precipitation and inland flooding, Sustainable cities & communities
6714120, National government||| Sub-national government||| Local government, Institutional, Extreme precipitation and inland flooding|||Sea level rise, Sustainable cities & communities
6714122, Sub-national government, Institutional||| Technological/infrastructural,Sea level rise||| Other1||| Loss of Arctic sea ice, Sustainable cities & communities
6714124, Private sector corporations||| National government, Institutional||| Technological/infrastructural, Extreme precipitation and inland flooding||| No information or not assessed1, Industry/innovation/technology
6714125, Individuals or households,Behavioural/cultural, Increased frequency and intensity of extreme heat, Health & wellbeing
6714126, Local government||| National government, Ecosystem-based||| Technological/infrastructural, General climate impacts||| Increased frequency and intensity of extreme heat||| Extreme precipitation and inland flooding, Sustainable cities & communities
6714127, Local government, Institutional||| Ecosystem-based, Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat, No information or not assessed2
6714128, Local government, Technological/infrastructural, Extreme precipitation and inland flooding, Sustainable cities & communities
6714130, National government||| Private sector SMEs||| Individuals or households||| Civil Society- sub-national or local||| Local government||| Sub-national government||| Private sector corporations, Technological/infrastructural|||Behavioural/cultural, General climate impacts||| No information or not assessed1, Energy security||| Sustainable cities & communities
6714131,No information or not assessed3, Ecosystem-based||| Technological/infrastructural||| Institutional, Other1|||Sea level rise, Other2
6714132, National government|||International or multinational governance institutions||| Civil Society- sub-national or local||| Private sector corporations, Technological/infrastructural||| Ecosystem-based||| Institutional, Drought||| No information or not assessed1||| Extreme precipitation and inland flooding||| General climate impacts, Consumption & production||| Clean water & sanitation||| Food security||| Terrestrial & freshwater ecosystem services
6714134, Local government||| Private sector corporations||| Other||| National government, Institutional, No information or not assessed1||| General climate impacts||| Extreme precipitation and inland flooding, Sustainable cities & communities
6714137, Local government||| Individuals or households, Institutional||| Technological/infrastructural|||Behavioural/cultural, Extreme precipitation and inland flooding|||Sea level rise||| Increased frequency and intensity of extreme heat||| Drought||| General climate impacts, Sustainable cities & communities||| Health & wellbeing||| Inequalities (Other than gender)||| Marine & coastal ecosystem services
6714138, Local government, Institutional, General climate impacts, Sustainable cities & communities
6714139, Local government||| Civil Society- sub-national or local||| Sub-national government||| Individuals or households, Ecosystem-based||| Technological/infrastructural, Extreme precipitation and inland flooding||| Other1||| Precipitation variability, Sustainable cities & communities||| Inequalities (Other than gender)||| Terrestrial & freshwater ecosystem services|||Poverty
6714140, Local government||| Civil Society- international/multinational/national||| National government, Institutional||| Technological/infrastructural||| Ecosystem-based|||Behavioural/cultural, General climate impacts||| Precipitation variability||| Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat, Sustainable cities & communities||| Clean water & sanitation||| Consumption & production||| Energy security||| Food security||| Marine & coastal ecosystem services||| Health & wellbeing||| Terrestrial & freshwater ecosystem services
6714141, Local government||| National government||| Civil Society- sub-national or local||| Private sector corporations||| Sub-national government, Institutional, Drought||| Extreme precipitation and inland flooding||| Precipitation variability||| General climate impacts, Work and economic growth|||Poverty||| Food security||| Sustainable cities & communities||| Health & wellbeing||| Marine & coastal ecosystem services
6714142, Local government||| Civil Society- sub-national or local||| National government||| Private sector corporations, Institutional, Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat||| Drought||| Precipitation variability, No information or not assessed2||| Sustainable cities & communities
6714144, Local government, Technological/infrastructural||| Ecosystem-based, Extreme precipitation and inland flooding||| No information or not assessed1, Sustainable cities & communities||| Health & wellbeing||| Clean water & sanitation
6714150, National government||| Sub-national government||| Local government||| Private sector corporations||| Civil Society- sub-national or local, Institutional, No information or not assessed1||| General climate impacts, Peace justice & strong institutions||| No information or not assessed2
6714151, Individuals or households||| Civil Society- sub-national or local, Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural, Drought||| General climate impacts||| Increased frequency and intensity of extreme heat||| Extreme precipitation and inland flooding||| Precipitation variability, Health & wellbeing||| Education||| Sustainable cities & communities||| Terrestrial & freshwater ecosystem services||| Work and economic growth
6714154, Individuals or households, Institutional||| Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based, Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat|||Sea level rise||| Other1||| General climate impacts, Sustainable cities & communities||| Health & wellbeing
6714158, Individuals or households,Behavioural/cultural, Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat, Health & wellbeing
6714161, Individuals or households||| Local government,Behavioural/cultural, Extreme precipitation and inland flooding, Health & wellbeing
6714164, Individuals or households||| National government,Behavioural/cultural, Increased frequency and intensity of extreme heat||| Extreme precipitation and inland flooding, Sustainable cities & communities
6714165, Individuals or households,Behavioural/cultural||| Technological/infrastructural||| Ecosystem-based, General climate impacts||| Extreme precipitation and inland flooding|||Sea level rise||| Other1, Clean water & sanitation||| Energy security||| Sustainable cities & communities||| Health & wellbeing
6714170, Local government, Institutional, General climate impacts, No information or not assessed2
6714172, Local government||| Civil Society- sub-national or local,Behavioural/cultural, Drought||| Extreme precipitation and inland flooding||| General climate impacts, Terrestrial & freshwater ecosystem services
6714173, Individuals or households||| Private sector SMEs, Technological/infrastructural|||Behavioural/cultural, Extreme precipitation and inland flooding, Clean water & sanitation||| Health & wellbeing
6714174, Individuals or households, Technological/infrastructural, Extreme precipitation and inland flooding, Clean water & sanitation||| Sustainable cities & communities
6714175, Individuals or households,Behavioural/cultural||| Technological/infrastructural,Sea level rise||| Extreme precipitation and inland flooding, Sustainable cities & communities
6714178, Private sector corporations||| Local government, Technological/infrastructural||| Institutional|||Behavioural/cultural||| Ecosystem-based, Extreme precipitation and inland flooding||| Drought|||Sea level rise||| Increased frequency and intensity of extreme heat, Sustainable cities & communities
6714179, Individuals or households||| Civil Society- sub-national or local||| Other||| Local government||| Private sector SMEs, Technological/infrastructural||| Ecosystem-based|||Behavioural/cultural, Extreme precipitation and inland flooding, Food security||| Work and economic growth||| Sustainable cities & communities
6714180, Private sector SMEs||| Local government||| Sub-national government,Behavioural/cultural||| Technological/infrastructural, General climate impacts, Terrestrial & freshwater ecosystem services||| Consumption & production
6714182, Individuals or households||| National government,Behavioural/cultural||| Technological/infrastructural,Sea level rise||| Other1, Sustainable cities & communities||| Health & wellbeing||| No information or not assessed2
6714183, Individuals or households, Institutional|||Behavioural/cultural||| Technological/infrastructural,Sea level rise||| Extreme precipitation and inland flooding||| General climate impacts, Sustainable cities & communities
